time,depth,latitude,longitude,ph,dissic,day,distance_km
2024-02-03,1.5413754,37.0,3.75,8.107821,2.2197487,2024-02-03,67.3771665595173
2024-02-03,1.5413754,37.25,2.5,8.107418,2.2144628,2024-02-03,74.59321055978846
2024-02-03,1.5413754,37.25,2.75,8.104126,2.2136567,2024-02-03,62.03979573410962
2024-02-03,1.5413754,37.25,3.0,8.100402,2.212525,2024-02-03,55.85227782011057
2024-02-03,1.5413754,37.25,3.25,8.097717,2.2128587,2024-02-03,58.10140704804029
2024-02-03,1.5413754,37.25,3.5,8.099072,2.2133152,2024-02-03,67.95457758570011
2024-02-03,1.5413754,37.25,3.75,8.104663,2.2122045,2024-02-03,82.73827358954384
2024-02-03,2.6456685,36.25,2.5,,,2024-02-03,74.81033821417587
2024-02-03,2.6456685,36.25,2.75,,,2024-02-03,62.11983730345671
2024-02-03,2.6456685,36.25,3.0,,,2024-02-03,55.85557448584465
2024-02-03,2.6456685,36.25,3.25,,,2024-02-03,58.13350219663351
2024-02-03,2.6456685,36.25,3.5,,,2024-02-03,68.10175849678386
2024-02-03,2.6456685,36.25,3.75,,,2024-02-03,83.035373349154
2024-02-03,2.6456685,36.5,2.5,,,2024-02-03,57.18584711457668
2024-02-03,2.6456685,36.5,2.75,,,2024-02-03,39.218630748632165
2024-02-03,2.6456685,36.5,3.0,,,2024-02-03,28.309899066231292
2024-02-03,2.6456685,36.5,3.25,,,2024-02-03,32.56184297337359
2024-02-03,2.6456685,36.5,3.5,,,2024-02-03,48.109971773295804
2024-02-03,2.6456685,36.5,3.75,,,2024-02-03,67.55982081549554
2024-02-03,2.6456685,36.75,2.5,8.112901,2.21105,2024-02-03,49.893335851721524
2024-02-03,2.6456685,36.75,2.75,,,2024-02-03,27.619548433415456
2024-02-03,2.6456685,36.75,3.0,,,2024-02-03,5.345713953294998
2024-02-03,2.6456685,36.75,3.25,,,2024-02-03,16.92811061876691
2024-02-03,2.6456685,36.75,3.5,,,2024-02-03,39.201925363355656
2024-02-03,2.6456685,36.75,3.75,,,2024-02-03,61.475673310100895
2024-02-03,2.6456685,37.0,2.5,8.110661,2.2158773,2024-02-03,57.043668759204486
2024-02-03,2.6456685,37.0,2.75,8.111036,2.2161157,2024-02-03,39.154960218269906
2024-02-03,2.6456685,37.0,3.0,8.109876,2.2174733,2024-02-03,28.306273869736685
2024-02-03,2.6456685,37.0,3.25,8.108283,2.2188728,2024-02-03,32.53286358811945
2024-02-03,2.6456685,37.0,3.5,8.1079,2.219005,2024-02-03,48.00558097221438
2024-02-03,2.6456685,37.0,3.75,8.107918,2.2195928,2024-02-03,67.3771665595173
2024-02-03,2.6456685,37.25,2.5,8.107449,2.2144449,2024-02-03,74.59321055978846
2024-02-03,2.6456685,37.25,2.75,8.104139,2.213637,2024-02-03,62.03979573410962
2024-02-03,2.6456685,37.25,3.0,8.100405,2.2125041,2024-02-03,55.85227782011057
2024-02-03,2.6456685,37.25,3.25,8.097733,2.2128394,2024-02-03,58.10140704804029
2024-02-03,2.6456685,37.25,3.5,8.0990925,2.2133007,2024-02-03,67.95457758570011
2024-02-03,2.6456685,37.25,3.75,8.104698,2.2121847,2024-02-03,82.73827358954384
2024-02-03,3.8194947,36.25,2.5,,,2024-02-03,74.81033821417587
2024-02-03,3.8194947,36.25,2.75,,,2024-02-03,62.11983730345671
