time,latitude,longitude,zos,day,distance_km
2024-02-08,36.66667,2.9166718,,2024-02-08,15.782881420103022
2024-02-08,36.66667,3.0,,2024-02-08,10.698609465725811
2024-02-08,36.66667,3.0833435,,2024-02-08,9.496464669132697
2024-02-08,36.66667,3.1666718,,2024-02-08,13.276882967911245
2024-02-08,36.66667,3.25,,2024-02-08,19.306074472517334
2024-02-08,36.75,2.8333435,-0.28362754,2024-02-08,20.194040166169533
2024-02-08,36.75,2.9166718,,2024-02-08,12.76987826840439
2024-02-08,36.75,3.0,,2024-02-08,5.345713953294998
2024-02-08,36.75,3.0833435,-0.283657,2024-02-08,2.079801567910821
2024-02-08,36.75,3.1666718,-0.28235137,2024-02-08,9.50394748445699
2024-02-08,36.75,3.25,,2024-02-08,16.92811061876691
2024-02-08,36.833336,2.8333435,-0.29600608,2024-02-08,22.20863381656194
2024-02-08,36.833336,2.9166718,-0.2915268,2024-02-08,15.772124592603511
2024-02-08,36.833336,3.0,-0.29060745,2024-02-08,10.696398658202174
2024-02-08,36.833336,3.0833435,-0.29208207,2024-02-08,9.496747682395155
2024-02-08,36.833336,3.1666718,-0.2933004,2024-02-08,13.270048906298761
2024-02-08,36.833336,3.25,-0.2937587,2024-02-08,19.290330362086166
2024-02-08,36.91667,2.8333435,-0.3082117,2024-02-08,27.393082527538727
2024-02-08,36.91667,2.9166718,-0.30546087,2024-02-08,22.49852861582144
2024-02-08,36.91667,3.0,-0.30466267,2024-02-08,19.286865452625985
2024-02-08,36.91667,3.0833435,-0.30314738,2024-02-08,18.648990373299995
2024-02-08,36.91667,3.1666718,-0.3019572,2024-02-08,20.82299777897512
2024-02-08,36.91667,3.25,-0.3017971,2024-02-08,25.08797191414032
2024-02-09,36.583336,2.8333435,,2024-02-09,27.42486183499686
2024-02-09,36.583336,2.9166718,,2024-02-09,22.513610945271516
2024-02-09,36.583336,3.0,,2024-02-09,19.289317853545782
2024-02-09,36.583336,3.0833435,,2024-02-09,18.648702135525184
2024-02-09,36.583336,3.1666718,,2024-02-09,20.831708919035847
2024-02-09,36.583336,3.25,,2024-02-09,25.112182506309033
2024-02-09,36.66667,2.8333435,,2024-02-09,22.228234819302035
2024-02-09,36.66667,2.9166718,,2024-02-09,15.782881420103022
2024-02-09,36.66667,3.0,,2024-02-09,10.698609465725811
2024-02-09,36.66667,3.0833435,,2024-02-09,9.496464669132697
2024-02-09,36.66667,3.1666718,,2024-02-09,13.276882967911245
2024-02-09,36.66667,3.25,,2024-02-09,19.306074472517334
2024-02-09,36.75,2.8333435,-0.22739185,2024-02-09,20.194040166169533
2024-02-09,36.75,2.9166718,,2024-02-09,12.76987826840439
2024-02-09,36.75,3.0,,2024-02-09,5.345713953294998
2024-02-09,36.75,3.0833435,-0.22911741,2024-02-09,2.079801567910821
2024-02-09,36.75,3.1666718,-0.22795889,2024-02-09,9.50394748445699
2024-02-09,36.75,3.25,,2024-02-09,16.92811061876691
2024-02-09,36.833336,2.8333435,-0.24137743,2024-02-09,22.20863381656194
2024-02-09,36.833336,2.9166718,-0.23703805,2024-02-09,15.772124592603511
2024-02-09,36.833336,3.0,-0.23635878,2024-02-09,10.696398658202174
2024-02-09,36.833336,3.0833435,-0.23790744,2024-02-09,9.496747682395155
2024-02-09,36.833336,3.1666718,-0.23909684,2024-02-09,13.270048906298761
2024-02-09,36.833336,3.25,-0.23996814,2024-02-09,19.290330362086166
2024-02-09,36.91667,2.8333435,-0.25674704,2024-02-09,27.393082527538727
2024-02-09,36.91667,2.9166718,-0.25367892,2024-02-09,22.49852861582144
2024-02-09,36.91667,3.0,-0.25494078,2024-02-09,19.286865452625985
2024-02-09,36.91667,3.0833435,-0.25587526,2024-02-09,18.648990373299995
2024-02-09,36.91667,3.1666718,-0.2551016,2024-02-09,20.82299777897512
2024-02-09,36.91667,3.25,-0.25438648,2024-02-09,25.08797191414032
2024-02-10,36.583336,2.8333435,,2024-02-10,27.42486183499686
2024-02-10,36.583336,2.9166718,,2024-02-10,22.513610945271516
2024-02-10,36.583336,3.0,,2024-02-10,19.289317853545782
2024-02-10,36.583336,3.0833435,,2024-02-10,18.648702135525184
2024-02-10,36.583336,3.1666718,,2024-02-10,20.831708919035847
2024-02-10,36.583336,3.25,,2024-02-10,25.112182506309033
2024-02-10,36.66667,2.8333435,,2024-02-10,22.228234819302035
2024-02-10,36.66667,2.9166718,,2024-02-10,15.782881420103022
2024-02-10,36.66667,3.0,,2024-02-10,10.698609465725811
2024-02-10,36.66667,3.0833435,,2024-02-10,9.496464669132697
2024-02-10,36.66667,3.1666718,,2024-02-10,13.276882967911245
2024-02-10,36.66667,3.25,,2024-02-10,19.306074472517334
2024-02-10,36.75,2.8333435,-0.17927937,2024-02-10,20.194040166169533
2024-02-10,36.75,2.9166718,,2024-02-10,12.76987826840439
2024-02-10,36.75,3.0,,2024-02-10,5.345713953294998
2024-02-10,36.75,3.0833435,-0.18622375,2024-02-10,2.079801567910821
2024-02-10,36.75,3.1666718,-0.18048987,2024-02-10,9.50394748445699
2024-02-10,36.75,3.25,,2024-02-10,16.92811061876691
2024-02-10,36.833336,2.8333435,-0.20501569,2024-02-10,22.20863381656194
2024-02-10,36.833336,2.9166718,-0.19818135,2024-02-10,15.772124592603511
2024-02-10,36.833336,3.0,-0.19592533,2024-02-10,10.696398658202174
2024-02-10,36.833336,3.0833435,-0.1980226,2024-02-10,9.496747682395155
2024-02-10,36.833336,3.1666718,-0.20114754,2024-02-10,13.270048906298761
2024-02-10,36.833336,3.25,-0.20267466,2024-02-10,19.290330362086166
2024-02-10,36.91667,2.8333435,-0.2276819,2024-02-10,27.393082527538727
2024-02-10,36.91667,2.9166718,-0.22302784,2024-02-10,22.49852861582144
2024-02-10,36.91667,3.0,-0.22272561,2024-02-10,19.286865452625985
2024-02-10,36.91667,3.0833435,-0.22495154,2024-02-10,18.648990373299995
2024-02-10,36.91667,3.1666718,-0.22791623,2024-02-10,20.82299777897512
2024-02-10,36.91667,3.25,-0.2294055,2024-02-10,25.08797191414032
2024-02-11,36.583336,2.8333435,,2024-02-11,27.42486183499686
2024-02-11,36.583336,2.9166718,,2024-02-11,22.513610945271516
2024-02-11,36.583336,3.0,,2024-02-11,19.289317853545782
2024-02-11,36.583336,3.0833435,,2024-02-11,18.648702135525184
2024-02-11,36.583336,3.1666718,,2024-02-11,20.831708919035847
2024-02-11,36.583336,3.25,,2024-02-11,25.112182506309033
2024-02-11,36.66667,2.8333435,,2024-02-11,22.228234819302035
2024-02-11,36.66667,2.9166718,,2024-02-11,15.782881420103022
2024-02-11,36.66667,3.0,,2024-02-11,10.698609465725811
2024-02-11,36.66667,3.0833435,,2024-02-11,9.496464669132697
2024-02-11,36.66667,3.1666718,,2024-02-11,13.276882967911245
2024-02-11,36.66667,3.25,,2024-02-11,19.306074472517334
2024-02-11,36.75,2.8333435,-0.1641577,2024-02-11,20.194040166169533
2024-02-11,36.75,2.9166718,,2024-02-11,12.76987826840439
2024-02-11,36.75,3.0,,2024-02-11,5.345713953294998
2024-02-11,36.75,3.0833435,-0.16581917,2024-02-11,2.079801567910821
2024-02-11,36.75,3.1666718,-0.16015838,2024-02-11,9.50394748445699
2024-02-11,36.75,3.25,,2024-02-11,16.92811061876691
2024-02-11,36.833336,2.8333435,-0.2018211,2024-02-11,22.20863381656194
2024-02-11,36.833336,2.9166718,-0.1900134,2024-02-11,15.772124592603511
2024-02-11,36.833336,3.0,-0.18472421,2024-02-11,10.696398658202174
2024-02-11,36.833336,3.0833435,-0.18406065,2024-02-11,9.496747682395155
2024-02-11,36.833336,3.1666718,-0.18816768,2024-02-11,13.270048906298761
2024-02-11,36.833336,3.25,-0.19079179,2024-02-11,19.290330362086166
2024-02-11,36.91667,2.8333435,-0.23792203,2024-02-11,27.393082527538727
2024-02-11,36.91667,2.9166718,-0.22990245,2024-02-11,22.49852861582144
2024-02-11,36.91667,3.0,-0.22707425,2024-02-11,19.286865452625985
2024-02-11,36.91667,3.0833435,-0.22668533,2024-02-11,18.648990373299995
2024-02-11,36.91667,3.1666718,-0.22990282,2024-02-11,20.82299777897512
2024-02-11,36.91667,3.25,-0.23428439,2024-02-11,25.08797191414032
2024-02-12,36.583336,2.8333435,,2024-02-12,27.42486183499686
