time,depth,latitude,longitude,o2,day,distance_km
2024-02-02,2.6456685,36.75,3.0,,2024-02-02,5.345713953294998
2024-02-02,2.6456685,36.75,3.25,,2024-02-02,16.92811061876691
2024-02-02,2.6456685,36.75,3.5,,2024-02-02,39.201925363355656
2024-02-02,2.6456685,36.75,3.75,,2024-02-02,61.475673310100895
2024-02-02,2.6456685,37.0,2.5,247.72546,2024-02-02,57.043668759204486
2024-02-02,2.6456685,37.0,2.75,247.8609,2024-02-02,39.154960218269906
2024-02-02,2.6456685,37.0,3.0,247.97655,2024-02-02,28.306273869736685
2024-02-02,2.6456685,37.0,3.25,247.62248,2024-02-02,32.53286358811945
2024-02-02,2.6456685,37.0,3.5,247.36601,2024-02-02,48.00558097221438
2024-02-02,2.6456685,37.0,3.75,247.08508,2024-02-02,67.3771665595173
2024-02-02,2.6456685,37.25,2.5,247.0536,2024-02-02,74.59321055978846
2024-02-02,2.6456685,37.25,2.75,246.71875,2024-02-02,62.03979573410962
2024-02-02,2.6456685,37.25,3.0,246.26064,2024-02-02,55.85227782011057
2024-02-02,2.6456685,37.25,3.25,245.56595,2024-02-02,58.10140704804029
2024-02-02,2.6456685,37.25,3.5,245.47838,2024-02-02,67.95457758570011
2024-02-02,2.6456685,37.25,3.75,246.2873,2024-02-02,82.73827358954384
2024-02-02,3.8194947,36.25,2.5,,2024-02-02,74.81033821417587
2024-02-02,3.8194947,36.25,2.75,,2024-02-02,62.11983730345671
2024-02-02,3.8194947,36.25,3.0,,2024-02-02,55.85557448584465
2024-02-02,3.8194947,36.25,3.25,,2024-02-02,58.13350219663351
2024-02-02,3.8194947,36.25,3.5,,2024-02-02,68.10175849678386
2024-02-02,3.8194947,36.25,3.75,,2024-02-02,83.035373349154
2024-02-02,3.8194947,36.5,2.5,,2024-02-02,57.18584711457668
2024-02-02,3.8194947,36.5,2.75,,2024-02-02,39.218630748632165
2024-02-02,3.8194947,36.5,3.0,,2024-02-02,28.309899066231292
2024-02-02,3.8194947,36.5,3.25,,2024-02-02,32.56184297337359
2024-02-02,3.8194947,36.5,3.5,,2024-02-02,48.109971773295804
2024-02-02,3.8194947,36.5,3.75,,2024-02-02,67.55982081549554
2024-02-02,3.8194947,36.75,2.5,248.65161,2024-02-02,49.893335851721524
2024-02-02,3.8194947,36.75,2.75,,2024-02-02,27.619548433415456
2024-02-02,3.8194947,36.75,3.0,,2024-02-02,5.345713953294998
2024-02-02,3.8194947,36.75,3.25,,2024-02-02,16.92811061876691
2024-02-02,3.8194947,36.75,3.5,,2024-02-02,39.201925363355656
2024-02-02,3.8194947,36.75,3.75,,2024-02-02,61.475673310100895
2024-02-02,3.8194947,37.0,2.5,247.72853,2024-02-02,57.043668759204486
2024-02-02,3.8194947,37.0,2.75,247.86409,2024-02-02,39.154960218269906
2024-02-02,3.8194947,37.0,3.0,247.98053,2024-02-02,28.306273869736685
2024-02-02,3.8194947,37.0,3.25,247.62819,2024-02-02,32.53286358811945
2024-02-02,3.8194947,37.0,3.5,247.37173,2024-02-02,48.00558097221438
2024-02-02,3.8194947,37.0,3.75,247.08966,2024-02-02,67.3771665595173
2024-02-02,3.8194947,37.25,2.5,247.05669,2024-02-02,74.59321055978846
2024-02-02,3.8194947,37.25,2.75,246.7241,2024-02-02,62.03979573410962
2024-02-02,3.8194947,37.25,3.0,246.26694,2024-02-02,55.85227782011057
2024-02-02,3.8194947,37.25,3.25,245.57124,2024-02-02,58.10140704804029
2024-02-02,3.8194947,37.25,3.5,245.4817,2024-02-02,67.95457758570011
2024-02-02,3.8194947,37.25,3.75,246.29108,2024-02-02,82.73827358954384
2024-02-03,0.49402538,36.25,2.5,,2024-02-03,74.81033821417587
2024-02-03,0.49402538,36.25,2.75,,2024-02-03,62.11983730345671
2024-02-03,0.49402538,36.25,3.0,,2024-02-03,55.85557448584465
2024-02-03,0.49402538,36.25,3.25,,2024-02-03,58.13350219663351
2024-02-03,0.49402538,36.25,3.5,,2024-02-03,68.10175849678386
2024-02-03,0.49402538,36.25,3.75,,2024-02-03,83.035373349154
2024-02-03,0.49402538,36.5,2.5,,2024-02-03,57.18584711457668
2024-02-03,0.49402538,36.5,2.75,,2024-02-03,39.218630748632165
2024-02-03,0.49402538,36.5,3.0,,2024-02-03,28.309899066231292
2024-02-03,0.49402538,36.5,3.25,,2024-02-03,32.56184297337359
2024-02-03,0.49402538,36.5,3.5,,2024-02-03,48.109971773295804
