date,o2_median,o2_n_points,o2_dist_min_km,o2_dist_median_km,o2_dist_max_km
2024-06-08,230.0448226928711,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-06-09,229.95619201660156,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-06-10,229.40638732910156,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-06-11,228.7859115600586,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-06-12,228.0711669921875,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-06-13,227.66897583007812,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-06-14,227.11884307861328,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-06-15,226.3043670654297,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-06-16,226.06533813476562,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-06-17,225.98726654052734,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-06-18,225.47747039794922,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-06-19,225.1602325439453,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-06-20,225.07057189941406,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-06-21,224.94429779052734,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-06-22,224.86504364013672,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-06-23,224.41927337646484,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-06-24,224.2297134399414,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-06-25,223.7291488647461,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-06-26,224.08623504638672,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-06-27,224.0483856201172,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-06-28,223.49613189697266,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-06-29,222.83917999267578,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-06-30,222.25072479248047,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-07-01,221.57916259765625,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-07-02,221.066650390625,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-07-03,221.03731536865234,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-07-04,221.018310546875,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-07-05,221.00493621826172,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-07-06,220.14873504638672,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-07-07,219.9644775390625,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-07-08,219.2739486694336,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-07-09,218.62954711914062,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-07-10,217.91736602783203,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-07-11,217.2616195678711,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-07-12,216.9409942626953,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-07-13,216.39332580566406,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-07-14,215.69505310058594,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-07-15,215.623291015625,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-07-16,215.44607543945312,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-07-17,214.80902862548828,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-07-18,213.0712890625,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-07-19,212.5572738647461,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-07-20,212.3691177368164,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-07-21,212.63214111328125,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-07-22,212.22376251220703,44,28.306411434744845,55.852195301984636,67.95450828154688
