date,VHM0_median,VHM0_n_points,VHM0_dist_min_km,VHM0_dist_median_km,VHM0_dist_max_km
2024-09-24,0.61,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-09-25,0.8150000000000001,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-09-26,0.765,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-09-27,1.2650000000000001,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-09-28,1.1350000000000002,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-09-29,1.4449999999999998,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-09-30,0.96,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-10-01,0.49,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-10-02,0.395,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-10-03,1.52,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-10-04,1.04,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-10-05,0.76,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-10-06,0.505,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-10-07,0.38,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-10-08,1.1300000000000001,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-10-09,0.975,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-10-10,1.68,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-10-11,0.675,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-10-12,0.4,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-10-13,0.685,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-10-14,0.515,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-10-15,0.495,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-10-16,0.375,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-10-17,1.13,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-10-18,1.42,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-10-19,0.92,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-10-20,0.66,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-10-21,0.59,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-10-22,0.56,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-10-23,0.65,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-10-24,0.475,128,7.711546198681338,41.21199946489436,55.49704268963926
